ID	Name
1	流行性腮腺炎
2	败血症
3	斑疹伤寒
4	病毒性肝炎
5	急性肝炎
6	慢性肝炎
7	重型肝炎
8	急性重型肝炎
9	亚急性重型肝炎
10	慢性重型肝炎
12	传染性单核细胞增多症
13	流行性出血热
14	流行性脑脊髓膜炎
15	流行性乙型脑炎
16	布鲁氏菌病
17	感冒
18	细菌性痢疾
19	伤寒
20	副伤寒
21	机会性真菌感染
22	疟疾
23	黑热病
24	血吸虫病
25	寸白虫病
26	猪囊尾蚴病
27	包虫病
28	细粒棘球绦虫病
29	多房棘球绦虫病
30	钩虫病
31	似蚓蛔线虫病
32	姜片虫病
33	华支睾吸虫病
34	蛲虫病
35	丝虫病
36	支气管扩张
37	肺脓肿
38	肺结核
39	弥漫性肺间质纤维化
40	结节病
41	胸膜炎
42	气胸
43	肺气肿
44	慢性肺源性心脏病
45	成人呼吸窘迫综合征
46	呼吸衰竭
47	心功能不全
48	动脉粥样硬化
49	风湿性心脏病
50	感染性心内膜炎
51	原发性心肌病
52	病毒性心肌炎
53	心包炎
54	雷诺综合征
55	闭塞性动脉硬化
56	血栓性静脉炎
57	多发性大动脉炎
58	心脏神经官能症
59	休克
60	慢性肾小球肾炎
61	隐匿性肾小球疾病
62	急性间质性肾炎
63	慢性间质性肾炎
64	狼疮性肾炎
65	紫癜性肾炎
66	痛风肾病
67	乙型肝炎病毒相关性肾炎
68	急性肾盂肾炎
69	慢性肾盂肾炎
70	肾硬化症
71	急性肾功能衰竭
72	慢性肾功能衰竭
73	纯红细胞再生障碍性贫血
74	自身免疫性溶血性贫血
75	阵发性睡眠性血红蛋白尿
76	地中海贫血
77	流行性感冒
78	白细胞减少症和粒细胞缺乏症
79	脾功能亢进症
80	特发性血小板减少性紫癜
81	血友病
82	急性白血病
83	慢性粒细胞白血病
84	慢性淋巴细胞白血病
85	骨髓增生异常综合征
86	新生儿肺炎
87	新生儿黄疸
88	新生儿败血症
89	新生儿破伤风
90	新生儿脐炎
91	新生儿硬肿症
92	新生儿惊厥
93	新生儿坏死性小肠结肠炎
94	营养不良（小儿）
95	营养性锌缺乏症（小儿）
96	肥胖症（小儿）
97	急性上呼吸道感染（小儿）
98	急性喉炎（小儿）
99	支气管炎（小儿）
100	肺炎（小儿）
101	支气管扩张症（小儿）
102	肺脓肿（小儿）
103	支气管哮喘（小儿）
104	急性呼吸衰竭（小儿）
105	婴幼儿腹泻
106	再发性腹痛（小儿）
107	厌食症（小儿）
108	特发性肠吸收不良综合征（小儿）
109	急性胰腺炎（小儿）
110	病毒性心肌炎（小儿）
111	原发性心肌病（小儿）
112	感染性心内膜炎（小儿）
113	急性心包炎（小儿）
114	高血压（小儿）
115	充血性心力衰竭（小儿）
